;DER_mass_MMC;DER_mass_transverse_met_lep;DER_mass_vis;DER_pt_h;DER_deltaeta_jet_jet;DER_mass_jet_jet;DER_prodeta_jet_jet;DER_deltar_tau_lep;DER_pt_tot;DER_sum_pt;DER_pt_ratio_lep_tau;DER_met_phi_centrality;DER_lep_eta_centrality;PRI_tau_pt;PRI_tau_eta;PRI_tau_phi;PRI_lep_pt;PRI_lep_eta;PRI_lep_phi;PRI_met;PRI_met_phi;PRI_met_sumet;PRI_jet_num;PRI_jet_leading_pt;PRI_jet_leading_eta;PRI_jet_leading_phi;PRI_jet_subleading_pt;PRI_jet_subleading_eta;PRI_jet_subleading_phi;PRI_jet_all_pt
DER_pt_ratio_lep_tau;-0.000580676494058 0.834759945441;0.344522308816 0.0;0.126233384498 0.0;0.12558283421 0.0;0.000857490085553 0.863704972987;4.49008975618e-05 0.99282819102;-0.00504325994971 0.312682235978;0.0903804153935 4.48148336671e-295;0.0355017493986 5.47231536597e-47;0.143647102367 0.0;1.0 0.0;-0.0151213940185 8.77600805847e-10;0.00164409935727 0.742057224504;-0.426471049823 0.0;0.0018622429017 0.450302344749;-0.00259509910882 0.292801740925;0.705920686496 0.0;0.00477532142266 0.0528901870471;-0.00533654433569 0.0305159874485;0.0412075553895 1.0773391185e-62;0.000417458405611 0.86561727731;0.0772488576152 6.72233318447e-216;0.0649916822324 2.72244132191e-153;-0.00176499478324 0.596644132216;-0.00432774754749 0.194398210174;0.000432328966812 0.896856421396;-0.00159789312712 0.749059079958;-0.00954610130711 0.055996256839;-0.00475928622811 0.340711415391;0.092105306005 2.07364119757e-306
DER_met_phi_centrality;2.62887394199e-05 0.992464971417;-0.423895654177 0.0;-0.069236639799 9.61473218674e-174;0.548935889466 0.0;0.00350377632917 0.483041914551;0.0119568659125 0.0166787240931;-0.00874368173406 0.0800459716694;-0.141205616922 0.0;0.250090895142 0.0;0.408725799562 0.0;-0.0151213940185 8.77600805847e-10;1.0 0.0;-0.00292891835259 0.557648735049;0.113237444863 0.0;0.00990059134915 5.98071974514e-05;-0.0024027132895 0.3300535229;0.0523948766582 3.00969616349e-100;0.0189511515255 1.55344223583e-14;-0.00146016184367 0.55390662388;0.124923024327 0.0;0.00676963837083 0.00606424879746;0.416772682674 0.0;0.475193826083 0.0;-0.00456122296574 0.171410432272;-0.00346465294904 0.298862276629;0.0032810978017 0.32519568099;0.00550109941505 0.270780879078;-0.00895203791481 0.0731117616701;-0.00383183088135 0.443026872026;0.439177917896 0.0
DER_lep_eta_centrality;-0.00873912495754 0.0802033977502;0.00294629861307 0.555313441825;-0.00901666276355 0.0710636765105;-0.00104521404507 0.83426084323;0.50557772522 0.0;0.338347427046 0.0;-0.409251356005 0.0;-0.00501068518309 0.315818088607;-0.00139074380773 0.780696665083;-0.00441625133149 0.376648844656;0.00164409935727 0.742057224504;-0.00292891835259 0.557648735049;1.0 0.0;-0.00940738885719 0.0596605025605;-0.00241782875859 0.628369823589;0.00219319197066 0.66062335681;-0.00549977207091 0.270896512438;-0.00302285915908 0.545083646445;0.0105750376255 0.034254602065;0.0048394055858 0.33264508805;0.00217286356502 0.663574650096;-0.00576659765855 0.248329223744;0.00279245087248 0.576149373674;-0.000758687789171 0.879281019416;0.00540643223386 0.279112876746;0.00037844188455 0.939610217547;-0.0231598262479 3.53576795562e-06;0.00486873371934 0.329723452557;0.00132977588821 0.790080429753;-0.00194966764613 0.696313446833
PRI_tau_pt;-0.00424629841323 0.127150379917;-0.0914884539258 2.48435761564e-302;0.33518365419 0.0;0.359705846386 0.0;0.000858976963077 0.863470957183;0.00193033750374 0.699176724851;-0.00562531171986 0.260109426648;-0.11280902354 0.0;0.122632380288 0.0;0.451847738984 0.0;-0.426471049823 0.0;0.113237444863 0.0;-0.00940738885719 0.0596605025605;1.0 0.0;-0.000967918994346 0.694783241762;0.000404125513159 0.8698703363;0.17145153314 0.0;0.0016070553333 0.514747223958;0.00573785234294 0.0200178876688;0.172058160287 0.0;0.00424271441085 0.0854494358694;0.411857169929 0.0;0.198670285657 0.0;-0.00226382388202 0.49726048213;0.00471449804012 0.157465872287;-0.00118520976657 0.722301753457;-0.00256820885489 0.607163103827;0.00309013772686 0.536171987573;0.00898616626798 0.0720242314287;0.278964478146 0.0
PRI_tau_eta;-0.000720988557287 0.795630550259;-0.00133818585548 0.587494775361;0.00286378914305 0.245675821918;0.00720596260781 0.00348720251571;-0.00455074273675 0.362289150125;-0.00989916017999 0.0475074326857;0.0061694377432 0.216806971439;0.00239048024517 0.332521710181;0.00765066626523 0.00192575775891;0.00716276156174 0.00368833252322;0.0018622429017 0.450302344749;0.00990059134915 5.98071974514e-05;-0.00241782875859 0.628369823589;-0.000967918994346 0.694783241762;1.0 0.0;-0.000467021536379 0.849842183511;-0.000745878093937 0.762376229988;0.51203121435 0.0;0.000783321618836 0.750833434153;0.0044578924016 0.0707410830482;-0.00115329920738 0.640127091713;0.00683479119127 0.00559360388072;0.0126001061514 3.2559390027e-07;0.00124368409333 0.709209671251;0.00356000405461 0.285760783634;-0.000577290242135 0.862572832391;-0.013517198571 0.00680757743181;-0.0001060250022 0.983066169104;-0.00156583359262 0.753929441617;0.00868861470949 0.000427931228276
PRI_tau_phi;-0.000884873188246 0.750576272018;-0.0003628147133 0.88307144944;-0.00520844860883 0.034737986869;0.00496910607313 0.0439703162731;0.0023237927904 0.641789960678;0.00149026842968 0.765447488246;-0.00476553847166 0.340077475923;-0.0107956935142 1.20626071739e-05;0.00146960721508 0.551345415023;0.00220891905064 0.370548700136;-0.00259509910882 0.292801740925;-0.0024027132895 0.3300535229;0.00219319197066 0.66062335681;0.000404125513159 0.8698703363;-0.000467021536379 0.849842183511;1.0 0.0;-0.00545969072474 0.0268804519766;-0.00445183702068 0.0711245816359;-0.183553760006 0.0;0.00580811111932 0.0185479216141;0.0238024479953 4.8996987722e-22;0.0040299839162 0.102328294717;0.00213296989242 0.387226589887;0.00258815885328 0.437714459334;-0.000284880606988 0.931926536779;0.0047719139361 0.152469660236;-0.00317613387147 0.524888802246;-0.00460003135689 0.357113609096;0.00328964642427 0.510183690921;0.00373943527567 0.129548105774
PRI_lep_pt;-0.00343926345874 0.216638647996;0.351103513741 0.0;0.448820127371 0.0;0.346645223198 0.0;0.00263137580937 0.598351573847;0.0056195492243 0.26059796863;-0.0106584887498 0.0328616787591;0.0472049639018 1.03556235041e-81;0.11789164882 0.0;0.455707381263 0.0;0.705920686496 0.0;0.0523948766582 3.00969616349e-100;-0.00549977207091 0.270896512438;0.17145153314 0.0;-0.000745878093937 0.762376229988;-0.00545969072474 0.0268804519766;1.0 0.0;0.00272770888806 0.268833676018;-0.000944290525007 0.701872709813;0.14313188048 0.0;0.00251231472217 0.308470718222;0.348025457856 0.0;0.189995272842 0.0;-0.000444666797641 0.893930063245;-0.00380320385886 0.254123237831;0.000126360030575 0.969776227092;0.000892975055868 0.85812339346;-0.0101102803187 0.0429685874268;0.00292503001777 0.558171843381;0.263412354228 0.0
PRI_lep_eta;-0.00335261071612 0.228440228804;-0.00711152170435 0.00394052924928;0.00337147206673 0.171712752439;0.0158568245445 1.28957567549e-10;-0.00411028557708 0.410601237929;-0.00100955766789 0.839836945844;-0.00301581908128 0.546020401402;0.000202388283547 0.934612079832;0.0136503058057 3.13406314029e-08;0.0140751364175 1.1564910457e-08;0.00477532142266 0.0528901870471;0.0189511515255 1.55344223583e-14;-0.00302285915908 0.545083646445;0.0016070553333 0.514747223958;0.51203121435 0.0;-0.00445183702068 0.0711245816359;0.00272770888806 0.268833676018;1.0 0.0;-0.000246998466816 0.92024310694;0.00365102747613 0.138860585998;0.000839201517827 0.733711158458;0.0148326827341 1.81942461851e-09;0.0226095929912 4.88262486311e-20;-0.00601397271757 0.0713409894034;-0.00106570238402 0.749309465843;0.00481881751223 0.148478497979;-0.0062692147146 0.209464954275;0.000354152641907 0.943479456119;-0.000208615089054 0.966688128626;0.0153838012336 4.47160694953e-10
PRI_lep_phi;-0.0067238477026 0.0157142792778;0.00225378605715 0.360909112153;-0.00118391503398 0.631275692785;-0.00399330205009 0.10549047454;0.00346310240691 0.488136416405;0.00843313382453 0.0913636737765;-0.00609088373112 0.222716247138;-0.00283938044312 0.249723265782;-0.00501860468713 0.0419072878386;-0.00114151472248 0.643547913344;-0.00533654433569 0.0305159874485;-0.00146016184367 0.55390662388;0.0105750376255 0.034254602065;0.00573785234294 0.0200178876688;0.000783321618836 0.750833434153;-0.183553760006 0.0;-0.000944290525007 0.701872709813;-0.000246998466816 0.92024310694;1.0 0.0;-0.00327757647222 0.183960947246;-0.112871085452 0.0;-0.0042207796995 0.0870784232757;-0.000517113518502 0.833959637659;0.000253185098148 0.939484867413;0.00245845976303 0.461020110632;0.00383701440855 0.249925784445;0.0147359009819 0.00317650065939;0.00220124302464 0.65945595294;-0.00250031244199 0.616698430485;-0.0022911343301 0.353006042156
PRI_met;0.000747212352433 0.788370927991;0.258513821498 0.0;-0.0317462545418 6.43327613853e-38;0.605648960487 0.0;-0.000701718094888 0.888283895404;0.00146647206547 0.769085557262;-0.008530887141 0.087670127937;-0.299128956964 0.0;0.252378085786 0.0;0.461130868138 0.0;0.0412075553895 1.0773391185e-62;0.124923024327 0.0;0.0048394055858 0.33264508805;0.172058160287 0.0;0.0044578924016 0.0707410830482;0.00580811111932 0.0185479216141;0.14313188048 0.0;0.00365102747613 0.138860585998;-0.00327757647222 0.183960947246;1.0 0.0;-0.00174279661303 0.479883361806;0.435231156838 0.0;0.303135461747 0.0;0.00136924136416 0.681390782397;-0.000191156199898 0.954291865628;0.00293226301938 0.379272026965;0.00360040936019 0.471055057586;-0.00982224775101 0.0492581886631;0.00932094255467 0.0620431087918;0.466995254816 0.0
PRI_met_phi;0.00495151235422 0.0752759585506;-0.0130833397281 1.13347095204e-07;-0.000841560388315 0.732991208965;0.00817705010797 0.000916944999708;-0.00304149108161 0.542608333433;-0.00329593914164 0.509374843906;0.00189298548788 0.70472160024;-0.0015936098895 0.518270818201;0.00338149934293 0.170441699143;0.00639757500499 0.00950166399043;0.000417458405611 0.86561727731;0.00676963837083 0.00606424879746;0.00217286356502 0.663574650096;0.00424271441085 0.0854494358694;-0.00115329920738 0.640127091713;0.0238024479953 4.8996987722e-22;0.00251231472217 0.308470718222;0.000839201517827 0.733711158458;-0.112871085452 0.0;-0.00174279661303 0.479883361806;1.0 0.0;0.00532858021297 0.0307649975441;0.00341421745162 0.166343387107;-0.00228614605349 0.493028588071;-0.000928418705432 0.7807163724;0.00348727035635 0.295718888001;-0.000441812459771 0.929522321759;-0.00248157356484 0.61934162336;0.00372166309179 0.456249152495;0.00597499314152 0.0154291365113
PRI_met_sumet;0.000916739017739 0.741908539581;-0.161849511367 0.0;0.083695540095 3.36383949514e-253;0.762956432972 0.0;0.00417241061081 0.403564055961;0.00751105466471 0.132671719915;-0.0101451947687 0.0422544652261;-0.291680591242 0.0;0.541773075615 0.0;0.901367344934 0.0;0.0772488576152 6.72233318447e-216;0.416772682674 0.0;-0.00576659765855 0.248329223744;0.411857169929 0.0;0.00683479119127 0.00559360388072;0.0040299839162 0.102328294717;0.348025457856 0.0;0.0148326827341 1.81942461851e-09;-0.0042207796995 0.0870784232757;0.435231156838 0.0;0.00532858021297 0.0307649975441;1.0 0.0;0.72310110595 0.0;-0.000662215847457 0.842603138635;-8.93426004049e-05 0.978627786677;-4.83925328249e-05 0.988422735101;0.00305886901788 0.540304677072;-0.0060319032963 0.227228241961;0.00606927651493 0.224361694574;0.881530969415 0.0
PRI_jet_num;0.00181488286848 0.514417741497;-0.214704259909 0.0;-0.00267618290565 0.277981495803;0.641625242585 0.0;0.00950057590486 0.0571776277138;0.0104698479348 0.0360819886095;-0.0101574005008 0.0420071956205;-0.26779738701 0.0;0.432659038586 0.0;0.773817502354 0.0;0.0649916822324 2.72244132191e-153;0.475193826083 0.0;0.00279245087248 0.576149373674;0.198670285657 0.0;0.0126001061514 3.2559390027e-07;0.00213296989242 0.387226589887;0.189995272842 0.0;0.0226095929912 4.88262486311e-20;-0.000517113518502 0.833959637659;0.303135461747 0.0;0.00341421745162 0.166343387107;0.72310110595 0.0;1.0 0.0;0.000911249123749 0.784670799579;0.000121579050014 0.970919262646;0.00321720598578 0.334705662823;0.00520599365203 0.297324544004;-0.0075366264458 0.13135793229;0.00245136538057 0.623612975515;0.813792668388 0.0
PRI_jet_leading_pt;-0.000883050733646 0.791177369599;0.00456169483733 0.171366128217;-0.000719613317879 0.829162782236;-0.00225129096667 0.499644957941;0.0017600903744 0.724575488624;0.00138511131985 0.781562264218;-0.00796672728462 0.110740465256;-0.0016327096465 0.624440409821;0.00023829825967 0.943036810425;-0.00106482783771 0.749508290784;-0.00176499478324 0.596644132216;-0.00456122296574 0.171410432272;-0.000758687789171 0.879281019416;-0.00226382388202 0.49726048213;0.00124368409333 0.709209671251;0.00258815885328 0.437714459334;-0.000444666797641 0.893930063245;-0.00601397271757 0.0713409894034;0.000253185098148 0.939484867413;0.00136924136416 0.681390782397;-0.00228614605349 0.493028588071;-0.000662215847457 0.842603138635;0.000911249123749 0.784670799579;1.0 0.0;0.00122753513001 0.712816955143;-0.0012809204978 0.700916891882;0.00362657092508 0.467838301753;0.00298388072192 0.55028012602;0.00633257986147 0.204896747845;-0.000673932089826 0.839855767719
PRI_jet_leading_eta;0.00384575236338 0.248848920813;-0.00361266347114 0.278694131119;-0.00193904227052 0.560956961832;1.33972852202e-05 0.996794775679;-0.000950508352901 0.849088912112;0.00235967940485 0.636654351192;0.000464392678093 0.925930450397;-0.0012944074413 0.697921973507;0.000698174181404 0.834177406366;0.00236911564184 0.477469602199;-0.00432774754749 0.194398210174;-0.00346465294904 0.298862276629;0.00540643223386 0.279112876746;0.00471449804012 0.157465872287;0.00356000405461 0.285760783634;-0.000284880606988 0.931926536779;-0.00380320385886 0.254123237831;-0.00106570238402 0.749309465843;0.00245845976303 0.461020110632;-0.000191156199898 0.954291865628;-0.000928418705432 0.7807163724;-8.93426004049e-05 0.978627786677;0.000121579050014 0.970919262646;0.00122753513001 0.712816955143;1.0 0.0;-0.00620645944046 0.0627414402788;0.00542481765018 0.277481216922;0.000565823160436 0.909815398754;-1.22505670254e-05 0.998043250931;0.0026672962516 0.423833706549
PRI_jet_leading_phi;-0.00424794945529 0.202752140391;0.000421366364529 0.899457773844;-0.00275667474333 0.408470569979;0.00132348585981 0.691480838362;-0.0028276382665 0.571351464297;-0.00169194724372 0.734829038629;0.00730161469737 0.143817967386;-0.00181349774245 0.586595512515;0.0061092169687 0.0669722100959;0.00146933541158 0.659517677664;0.000432328966812 0.896856421396;0.0032810978017 0.32519568099;0.00037844188455 0.939610217547;-0.00118520976657 0.722301753457;-0.000577290242135 0.862572832391;0.0047719139361 0.152469660236;0.000126360030575 0.969776227092;0.00481881751223 0.148478497979;0.00383701440855 0.249925784445;0.00293226301938 0.379272026965;0.00348727035635 0.295718888001;-4.83925328249e-05 0.988422735101;0.00321720598578 0.334705662823;-0.0012809204978 0.700916891882;-0.00620645944046 0.0627414402788;1.0 0.0;0.00450594513942 0.367033652711;-0.000404956521197 0.935388107149;0.00810955026085 0.104489676194;0.00191348798381 0.56613141805
PRI_jet_subleading_pt;-0.00573798538222 0.250684216133;0.00255588598674 0.608888825116;0.00267622517958 0.59213072409;0.00026539097869 0.957629710576;-0.0847927500671 7.51771356221e-65;0.413860812897 0.0;-0.0406247095806 4.08670984655e-16;-0.00245456898117 0.623159391606;0.00614559453609 0.218588543387;0.00164360621035 0.742131842051;-0.00159789312712 0.749059079958;0.00550109941505 0.270780879078;-0.0231598262479 3.53576795562e-06;-0.00256820885489 0.607163103827;-0.013517198571 0.00680757743181;-0.00317613387147 0.524888802246;0.000892975055868 0.85812339346;-0.0062692147146 0.209464954275;0.0147359009819 0.00317650065939;0.00360040936019 0.471055057586;-0.000441812459771 0.929522321759;0.00305886901788 0.540304677072;0.00520599365203 0.297324544004;0.00362657092508 0.467838301753;0.00542481765018 0.277481216922;0.00450594513942 0.367033652711;1.0 0.0;0.00238453933982 0.633106920134;-0.0157218014724 0.00164661335605;0.00221264168607 0.657804563515
PRI_jet_subleading_eta;0.00486586305922 0.330008688537;-0.00913604185079 0.067404079941;0.00939140291109 0.0600952911732;-0.00740085744907 0.138449945635;-0.00783681121245 0.116679437915;-0.00680153876304 0.173322044269;-0.00431097298047 0.3881309141;0.00913115215811 0.0675508680606;-0.00509424397671 0.307815497691;-0.00845663132056 0.0904646100046;-0.00954610130711 0.055996256839;-0.00895203791481 0.0731117616701;0.00486873371934 0.329723452557;0.00309013772686 0.536171987573;-0.0001060250022 0.983066169104;-0.00460003135689 0.357113609096;-0.0101102803187 0.0429685874268;0.000354152641907 0.943479456119;0.00220124302464 0.65945595294;-0.00982224775101 0.0492581886631;-0.00248157356484 0.61934162336;-0.0060319032963 0.227228241961;-0.0075366264458 0.13135793229;0.00298388072192 0.55028012602;0.000565823160436 0.909815398754;-0.000404956521197 0.935388107149;0.00238453933982 0.633106920134;1.0 0.0;-0.00224181685114 0.653585405855;-0.0080672198192 0.106312381795
PRI_jet_subleading_phi;0.00576071887066 0.248811821826;0.00777873118388 0.119414146728;-0.000402923011717 0.935711854242;0.00573020998607 0.251326871378;0.00324997038888 0.515298958851;-0.0042638575836 0.393337843686;0.00365233037657 0.464682915805;-0.00932040796607 0.0620580843777;-0.000746509364741 0.881204295817;0.00490237381416 0.32639279214;-0.00475928622811 0.340711415391;-0.00383183088135 0.443026872026;0.00132977588821 0.790080429753;0.00898616626798 0.0720242314287;-0.00156583359262 0.753929441617;0.00328964642427 0.510183690921;0.00292503001777 0.558171843381;-0.000208615089054 0.966688128626;-0.00250031244199 0.616698430485;0.00932094255467 0.0620431087918;0.00372166309179 0.456249152495;0.00606927651493 0.224361694574;0.00245136538057 0.623612975515;0.00633257986147 0.204896747845;-1.22505670254e-05 0.998043250931;0.00810955026085 0.104489676194;-0.0157218014724 0.00164661335605;-0.00224181685114 0.653585405855;1.0 0.0;0.00319789756666 0.522052678842
